Stage,Backbone,Mode,Bitrate (bps),WER,STOI,PESQ,SECS,UTMOS
Backbone,VQ-8k,FFR 80Hz,1040,0.1752,0.9272,2.3964,0.9539,4.0942
Backbone,VQ-8k,Fixed 40Hz,521,0.6596,0.6419,1.1004,0.7936,1.9781
Backbone,VQ-8k,ScheDFR 40Hz,601,0.3708,0.7885,1.2245,0.8903,2.7150
Cool only,VQ-8k,ScheDFR 40Hz,601,0.2552,0.8726,1.4923,0.9274,3.4108
Melt+Cool,VQ-8k,ScheDFR 40Hz,601,0.2534,0.8855,1.7652,0.9222,3.7474
Backbone,FSQ-18k,FFR 80Hz,1132,0.1724,0.9269,2.3796,0.9517,4.0935
Backbone,FSQ-18k,Fixed 40Hz,567,0.5164,0.7193,1.1325,0.7962,2.1628
Backbone,FSQ-18k,ScheDFR 40Hz,647,0.3865,0.7871,1.2221,0.8652,2.5517
Melt,FSQ-18k,Fixed 40Hz,567,0.2957,0.8637,1.4843,0.8970,3.3441
Melt,FSQ-18k,ScheDFR 40Hz,647,0.2902,0.8744,1.6025,0.9049,3.4446
Cool only,FSQ-18k,ScheDFR 40Hz,647,0.2747,0.8624,1.4320,0.9211,3.3117
Melt+Cool,FSQ-18k,ScheDFR 40Hz,647,0.2607,0.8838,1.7260,0.9194,3.7109
